nome,telefone,wa_link,whatsapp_status,regiao,fonte_url,evidencia_textual,site_status,vulnerabilidade,abordagem_status
Retífica de Caixa de Marcha Shekinah,+552****2618,https://wa.me/5521969432618,WhatsApp explícito,"Rua Conselheiro Galvão, 536 - Turiaçu - Rio de Janeiro, RJ - 21540-000",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica/retifica-de-caixa-de-marcha-shekinah/74426,"Portal público mostra Retífica de Caixa de Marcha Shekinah, Rua Conselheiro Galvão 536, links api.whatsapp.com/send para (21) 96943-2618 e (21) 97997-6733, Instagram retificadecaixasde e Facebook | Demo https://hlreboques-oss.github.io/projeto-sites-demos/retifica-caixa-marcha-shekinah/ HTTP 200 verificado | Envio 2026-09-26T11:08:00+00:00 id=3EB05FD8EE638FDF979184 readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório Instagram e Facebook,"presença pública em diretório/redes, sem site próprio evidente para apresentar especialidade e facilitar orçamento",primeira_mensagem_enviada_verificada
CLF Brasil Martelinho de Ouro,+5521984027479,https://wa.me/5521984027479,WhatsApp explícito,"Rua Real Grandeza, 10 - Loja - Esquina com São Clemente - Botafogo - Rio de Janeiro, RJ - 22281-034",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica-em-geral/martelinho-de-ouro-2/72558,"Portal público mostra CLF Brasil Martelinho de Ouro, Rua Real Grandeza 10 em Botafogo, telefone comercial (21)2539-1785 e link api.whatsapp.com/send para (21)98402-7479 | Demo https://hlreboques-oss.github.io/projeto-sites-demos/clf-brasil-martelinho-de-ouro/ HTTP 200 verificado | Envio 2026-09-26T12:07:29+00:00 id=3EB011F270F566E7D2060D readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório,"presença em guia com WhatsApp, mas sem página própria clara para explicar martelinho de ouro, localização e orçamento",primeira_mensagem_enviada_verificada
Novo Local Reparo Automotivo,+5521997978039,https://wa.me/5521997978039,WhatsApp explícito,"Avenida Dom Hélder Câmara, 6512 - C - em frente a Toyota Rio Zem - Pilares - Rio de Janeiro, RJ - 20771-005",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/martelinho-de-ouro/novo-local-reparo-automotivo/74218,"Portal público mostra Novo Local Reparo Automotivo, Avenida Dom Hélder Câmara 6512 em Pilares, e link api.whatsapp.com/send para (21)99797-8039 | Demo https://hlreboques-oss.github.io/projeto-sites-demos/novo-local-reparo-automotivo/ HTTP 200 verificado | Envio 2026-09-26T12:07:29+00:00 id=3EB05360EA28642EF75D9A readback=True",não apareceu site profissional próprio nos resultados verificados; presença em diretórios e Waze,"presença local forte em mapas/diretórios, mas sem site próprio para apresentar reparo, horários e captação de orçamento",primeira_mensagem_enviada_verificada
Vinficar Auto Center,+5521964492101,https://wa.me/5521964492101,WhatsApp explícito,"Rua Jaime Perdigão, 467 - Ilha do Governador - Rio de Janeiro, RJ - 21920-240",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/martelinho-de-ouro/vinficar-auto-center/73829,"Portal público mostra Vinficar Auto Center, Rua Jaime Perdigão 467, telefone comercial (21)2462-3635, WhatsApp (21)96449-2101, Facebook, Instagram vinficarautocenter e blog showdoamassado.blogspot.com | Demo https://hlreboques-oss.github.io/projeto-sites-demos/vinficar-auto-center/ HTTP 200 verificado | Envio 2026-09-26T12:07:29+00:00 id=3EB087153D405946B69667 readback=True",existe referência a blog antigo; não apareceu site profissional moderno vinculado,"presença pública com redes e blog antigo, mas sem página moderna central para martelinho, ar-condicionado/auto center e orçamento",primeira_mensagem_enviada_verificada
Oficina do Freitas,+552****5544,https://wa.me/5521964885544,WhatsApp explícito,"Avenida São Félix, 720 - Vista Alegre - Rio de Janeiro, RJ - 21235-610",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica-gnv/oficina-do-freitas/73866,"Portal público mostra Oficina do Freitas, Mecânica - GNV, Avenida São Félix 720, link api.whatsapp.com/send para (21) 96488-5544 e Instagram oficinadofreitas | Demo https://hlreboques-oss.github.io/projeto-sites-demos/oficina-do-freitas/ HTTP 200 verificado | Envio id=3EB0DFA62FBA713DAAB06E readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório e Instagram,"presença pública em guia e Instagram, mas sem site próprio claro para explicar GNV, localização e orçamento",primeira_mensagem_enviada_verificada
Auto Center Parada Legal,+552****3340,https://wa.me/5521976223340,WhatsApp explícito,"Rua Barcelos Domingos, 200 - Loja B e C - Campo Grande - Rio de Janeiro, RJ - 23080-020",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/auto-center-1/auto-center-parada-legal/72561,"Portal público mostra Auto Center Parada Legal, Auto Center, Rua Barcelos Domingos 200, link api.whatsapp.com/send para (21) 97622-3340, Facebook e Instagram | Demo https://hlreboques-oss.github.io/projeto-sites-demos/auto-center-parada-legal/ HTTP 200 verificado | Envio id=3EB0E20AD1C9F83AF4E022 readback=True","não apareceu site profissional próprio nos resultados verificados; presença pública em diretório, Facebook e Instagram","presença em guia e redes, mas sem site próprio evidente para organizar serviços, endereço e CTA de orçamento",primeira_mensagem_enviada_verificada
Retestilha Centro Automotivo,+552****0102,https://wa.me/5521982360102,WhatsApp explícito,"Rua Domingos Mondim, 139 - Ilha do Governador - Rio de Janeiro, RJ - 21920-060",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/gnv-reteste/retestilha-centro-automotivo/73931,"Portal público mostra Retestilha Centro Automotivo, GNV - Reteste, Rua Domingos Mondim 139, link api.whatsapp.com/send para (21) 98236-0102 e Instagram mnlubrificantes | Demo https://hlreboques-oss.github.io/projeto-sites-demos/retestilha-centro-automotivo/ HTTP 200 verificado | Envio id=3EB0F86B00064E6759B656 readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório e Instagram,"presença em diretório e Instagram, mas sem página própria clara para reteste GNV, localização e WhatsApp",primeira_mensagem_enviada_verificada
FM Sound Som e Acessórios,+552****2956,https://wa.me/5521970232956,WhatsApp explícito,"Estrada Rodrigues Caldas, 700 - Taquara - Rio de Janeiro, RJ - 22713-373",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/insulfilm-som-e-acessorios-estetica-automotiva/fm-sound-som-e-acessorios/73128,"Portal público mostra FM Sound Som e Acessórios, endereço na Estrada Rodrigues Caldas 700, link api.whatsapp.com/send para (21) 97023-2956 e Instagram lojafmsound. | Demo https://hlreboques-oss.github.io/projeto-sites-demos/fm-sound-som-e-acessorios/ HTTP 200 verificado | Envio id=3EB0DDFB907DA38A50316C readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório e Instagram,"presença em guia e Instagram, mas sem site próprio claro para apresentar serviços, localização e CTA de orçamento",primeira_mensagem_enviada_verificada
Auto Elétrico J & D,+552****5456,https://wa.me/5521964985456,WhatsApp explícito,"Avenida dos Mananciais, 1798 - Lj. B - Taquara - Rio de Janeiro, RJ - 22720-410",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/auto-eletrica/auto-eletrico-j-e-d/73302,"Portal público mostra Auto Elétrico J & D, endereço na Avenida dos Mananciais 1798, links api.whatsapp.com/send para (21) 96498-5456 e (21) 96488-5466 e Instagram autoeletrica_jd. | Demo https://hlreboques-oss.github.io/projeto-sites-demos/auto-eletrico-j-d/ HTTP 200 verificado | Envio id=3EB0101B4066E0F59CD184 readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório e Instagram,"telefones e Instagram aparecem em diretório, mas sem página própria clara para explicar auto elétrica, endereço e contato",primeira_mensagem_enviada_verificada
Box Car Oficina Mecânica,+552****1626,https://wa.me/5521995931626,WhatsApp explícito,"Rua Bom Pastor, 155 - Tijuca - Rio de Janeiro, RJ - 20521-060",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica-em-geral/box-car-oficina-mecanica/73117,"Portal público mostra Box Car Oficina Mecânica, endereço na Rua Bom Pastor 155, telefone comercial e link api.whatsapp.com/send para (21) 99593-1626. | Demo https://hlreboques-oss.github.io/projeto-sites-demos/box-car-oficina-mecanica/ HTTP 200 verificado | Evolution retornou jid exists=false; não enviado",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório,"presença em diretório com WhatsApp, mas sem site próprio claro para organizar serviços, localização e captação",falha_envio_numero_nao_existe
Juninho Mecânico,+552****3822,https://wa.me/5521998763822,WhatsApp explícito,"Estrada do Engenho Velho, 1851 - Taquara - Rio de Janeiro, RJ - 22723-392",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica/canellas-auto-center/73230,"Portal público mostra Juninho Mecânico, endereço na Estrada do Engenho Velho 1851 e link api.whatsapp.com/send para (21) 99876-3822. | Demo https://hlreboques-oss.github.io/projeto-sites-demos/juninho-mecanico/ HTTP 200 verificado | Envio id=3EB05FDD5A5F928A8B6154 readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório,"aparece em diretório com WhatsApp, mas sem página própria clara para explicar serviço, bairro e próximos passos",primeira_mensagem_enviada_verificada
